source,target,distance,link_type
N0270,N0271,0.0064,ring
N0271,N0272,0.0101,ring
N0272,N0273,0.0138,ring
N0273,N0274,0.0035,ring
N0274,N0275,0.0072,ring
N0275,N0276,0.0109,ring
N0276,N0277,0.0006,ring
N0277,N0278,0.0043,ring
N0278,N0279,0.0080,ring
N0279,N0280,0.0117,ring
N0280,N0281,0.0014,ring
N0281,N0282,0.0051,ring
N0282,N0283,0.0088,ring
N0283,N0284,0.0125,ring
N0284,N0285,0.0022,ring
N0285,N0286,0.0059,ring
N0286,N0287,0.0096,ring
N0287,N0288,0.0133,ring
N0288,N0289,0.0030,ring
N0289,N0290,0.0067,ring
N0290,N0291,0.0104,ring
N0291,N0292,0.0001,ring
N0292,N0293,0.0038,ring
N0293,N0294,0.0075,ring
N0294,N0295,0.0112,ring
N0295,N0296,0.0009,ring
N0296,N0297,0.0046,ring
N0297,N0298,0.0083,ring
N0298,N0299,0.0120,ring
N0299,N0300,0.0017,ring
N0300,N0301,0.0054,ring
N0301,N0302,0.0091,ring
N0302,N0303,0.0128,ring
N0303,N0304,0.0025,ring
N0304,N0305,0.0062,ring
N0305,N0306,0.0099,ring
N0306,N0307,0.0136,ring
N0307,N0308,0.0033,ring
N0308,N0309,0.0070,ring
N0309,N0310,0.0107,ring
N0310,N0311,0.0004,ring
N0311,N0312,0.0041,ring
N0312,N0313,0.0078,ring
N0313,N0314,0.0115,ring
N0314,N0315,0.0012,ring
N0315,N0316,0.0049,ring
N0316,N0317,0.0086,ring
N0317,N0318,0.0123,ring
N0318,N0319,0.0020,ring
N0319,N0320,0.0057,ring
N0320,N0321,0.0094,ring
N0321,N0322,0.0131,ring
N0322,N0323,0.0028,ring
N0323,N0324,0.0065,ring
N0324,N0325,0.0102,ring
N0325,N0326,0.0139,ring
N0326,N0327,0.0036,ring
N0327,N0328,0.0073,ring
N0328,N0329,0.0110,ring
N0329,N0330,0.0007,ring
N0330,N0331,0.0044,ring
N0331,N0332,0.0081,ring
N0332,N0333,0.0118,ring
N0333,N0334,0.0015,ring
N0334,N0335,0.0052,ring
N0335,N0336,0.0089,ring
N0336,N0337,0.0126,ring
N0337,N0338,0.0023,ring
N0338,N0339,0.0060,ring
N0339,N0340,0.0097,ring
N0340,N0341,0.0134,ring
N0341,N0342,0.0031,ring
N0342,N0343,0.0068,ring
N0343,N0344,0.0105,ring
N0344,N0345,0.0002,ring
N0345,N0346,0.0039,ring
N0346,N0347,0.0076,ring
N0347,N0348,0.0113,ring
N0348,N0349,0.0010,ring
N0349,N0350,0.0047,ring
N0350,N0351,0.0084,ring
N0351,N0352,0.0121,ring
N0352,N0353,0.0018,ring
N0353,N0354,0.0055,ring
N0354,N0355,0.0092,ring
N0355,N0356,0.0129,ring
N0356,N0357,0.0026,ring
N0357,N0358,0.0063,ring
N0358,N0359,0.0100,ring
N0359,N0360,0.0137,ring
N0360,N0361,0.0034,ring
N0361,N0362,0.0071,ring
N0362,N0363,0.0108,ring
N0363,N0364,0.0005,ring
N0364,N0365,0.0042,ring
N0365,N0366,0.0079,ring
N0366,N0367,0.0116,ring
N0367,N0368,0.0013,ring
N0368,N0369,0.0050,ring
N0369,N0370,0.0087,ring
N0370,N0371,0.0124,ring
N0371,N0372,0.0021,ring
N0372,N0373,0.0058,ring
N0373,N0374,0.0095,ring
N0374,N0375,0.0132,ring
N0375,N0376,0.0029,ring
N0376,N0377,0.0066,ring
N0377,N0378,0.0103,ring
N0378,N0379,0.0140,ring
N0379,N0380,0.0037,ring
N0380,N0381,0.0074,ring
N0381,N0382,0.0111,ring
N0382,N0383,0.0008,ring
N0383,N0384,0.0045,ring
N0384,N0385,0.0082,ring
N0385,N0386,0.0119,ring
N0386,N0387,0.0016,ring
N0387,N0388,0.0053,ring
N0388,N0389,0.0090,ring
N0389,N0390,0.0127,ring
N0390,N0391,0.0024,ring
N0391,N0392,0.0061,ring
N0392,N0393,0.0098,ring
N0393,N0394,0.0135,ring
N0394,N0395,0.0032,ring
N0395,N0396,0.0069,ring
N0396,N0397,0.0106,ring
N0397,N0398,0.0003,ring
N0398,N0399,0.0040,ring
N0399,N0400,0.0077,ring
N0400,N0401,0.0114,ring
N0401,N0402,0.0011,ring
N0402,N0403,0.0048,ring
N0403,N0404,0.0085,ring
N0404,N0405,0.0122,ring
N0405,N0406,0.0019,ring
N0406,N0407,0.0056,ring
N0407,N0408,0.0093,ring
N0408,N0409,0.0130,ring
N0409,N0410,0.0027,ring
N0410,N0411,0.0064,ring
N0411,N0412,0.0101,ring
N0412,N0413,0.0138,ring
N0413,N0414,0.0035,ring
N0414,N0415,0.0072,ring
N0415,N0416,0.0109,ring
N0416,N0417,0.0006,ring
N0417,N0418,0.0043,ring
N0418,N0419,0.0080,ring
N0419,N0420,0.0117,ring
N0420,N0421,0.0014,ring
N0421,N0422,0.0051,ring
N0422,N0423,0.0088,ring
N0423,N0424,0.0125,ring
N0424,N0425,0.0022,ring
N0425,N0426,0.0059,ring
N0426,N0427,0.0096,ring
N0427,N0428,0.0133,ring
N0428,N0429,0.0030,ring
N0429,N0430,0.0067,ring
N0430,N0431,0.0104,ring
N0431,N0432,0.0001,ring
N0432,N0433,0.0038,ring
N0433,N0434,0.0075,ring
N0434,N0435,0.0112,ring
N0435,N0436,0.0009,ring
N0436,N0437,0.0046,ring
N0437,N0438,0.0083,ring
N0438,N0439,0.0120,ring
N0439,N0440,0.0017,ring
N0440,N0441,0.0054,ring
N0441,N0442,0.0091,ring
N0442,N0443,0.0128,ring
N0443,N0444,0.0025,ring
N0444,N0445,0.0062,ring
N0445,N0446,0.0099,ring
N0446,N0447,0.0136,ring
N0447,N0448,0.0033,ring
N0448,N0449,0.0070,ring
N0449,N0450,0.0107,ring
N0450,N0451,0.0004,ring
N0451,N0452,0.0041,ring
N0452,N0453,0.0078,ring
N0453,N0454,0.0115,ring
N0454,N0455,0.0012,ring
N0455,N0456,0.0049,ring
N0456,N0457,0.0086,ring
N0457,N0458,0.0123,ring
N0458,N0459,0.0020,ring
N0459,N0460,0.0057,ring
N0460,N0461,0.0094,ring
N0461,N0462,0.0131,ring
N0462,N0463,0.0028,ring
N0463,N0464,0.0065,ring
N0464,N0465,0.0102,ring
N0465,N0466,0.0139,ring
N0466,N0467,0.0036,ring
N0467,N0468,0.0073,ring
N0468,N0469,0.0110,ring
N0469,N0470,0.0007,ring
N0470,N0471,0.0044,ring
N0471,N0472,0.0081,ring
N0472,N0473,0.0118,ring
N0473,N0474,0.0015,ring
N0474,N0475,0.0052,ring
N0475,N0476,0.0089,ring
N0476,N0477,0.0126,ring
N0477,N0478,0.0023,ring
N0478,N0479,0.0060,ring
N0479,N0480,0.0097,ring
N0480,N0481,0.0134,ring
N0481,N0482,0.0031,ring
N0482,N0483,0.0068,ring
N0483,N0484,0.0105,ring
N0484,N0485,0.0002,ring
N0485,N0486,0.0039,ring
N0486,N0487,0.0076,ring
N0487,N0488,0.0113,ring
N0488,N0489,0.0010,ring
N0489,N0490,0.0047,ring
N0490,N0491,0.0084,ring
N0491,N0492,0.0121,ring
N0492,N0493,0.0018,ring
N0493,N0494,0.0055,ring
N0494,N0495,0.0092,ring
N0495,N0496,0.0129,ring
N0496,N0497,0.0026,ring
N0497,N0498,0.0063,ring
N0498,N0499,0.0100,ring
N0499,N0500,0.0137,ring
N0500,N0501,0.0034,ring
N0501,N0502,0.0071,ring
N0502,N0503,0.0108,ring
N0503,N0504,0.0005,ring
N0504,N0505,0.0042,ring
N0505,N0506,0.0079,ring
N0506,N0507,0.0116,ring
N0507,N0508,0.0013,ring
N0508,N0509,0.0050,ring
N0509,N0510,0.0087,ring
N0510,N0511,0.0124,ring
N0511,N0512,0.0021,ring
N0512,N0513,0.0058,ring
N0513,N0514,0.0095,ring
N0514,N0515,0.0132,ring
N0515,N0516,0.0029,ring
N0516,N0517,0.0066,ring
N0517,N0518,0.0103,ring
N0518,N0519,0.0140,ring
N0519,N0520,0.0037,ring
N0520,N0521,0.0074,ring
N0521,N0522,0.0111,ring
N0522,N0523,0.0008,ring
N0523,N0524,0.0045,ring
N0524,N0525,0.0082,ring
N0525,N0526,0.0119,ring
N0526,N0527,0.0016,ring
N0527,N0528,0.0053,ring
N0528,N0529,0.0090,ring
N0529,N0530,0.0127,ring
N0530,N0531,0.0024,ring
N0531,N0532,0.0061,ring
N0532,N0533,0.0098,ring
N0533,N0534,0.0135,ring
N0534,N0535,0.0032,ring
N0535,N0536,0.0069,ring
N0536,N0537,0.0106,ring
N0537,N0538,0.0003,ring
N0538,N0539,0.0040,ring
N0539,N0540,0.0077,ring
N0540,N0541,0.0114,ring
N0541,N0542,0.0011,ring
N0542,N0543,0.0048,ring
N0543,N0544,0.0085,ring
N0544,N0545,0.0122,ring
N0545,N0546,0.0019,ring
N0546,N0547,0.0056,ring
N0547,N0548,0.0093,ring
N0548,N0549,0.0130,ring
N0549,N0550,0.0027,ring
N0550,N0551,0.0064,ring
N0551,N0552,0.0101,ring
N0552,N0553,0.0138,ring
N0553,N0554,0.0035,ring
N0554,N0555,0.0072,ring
N0555,N0556,0.0109,ring
N0556,N0557,0.0006,ring
N0557,N0558,0.0043,ring
N0558,N0559,0.0080,ring
N0559,N0560,0.0117,ring
N0560,N0561,0.0014,ring
N0561,N0562,0.0051,ring
N0562,N0563,0.0088,ring
N0563,N0564,0.0125,ring
N0564,N0565,0.0022,ring
N0565,N0566,0.0059,ring
N0566,N0567,0.0096,ring
N0567,N0568,0.0133,ring
N0568,N0569,0.0030,ring
N0569,N0570,0.0067,ring
N0570,N0571,0.0104,ring
N0571,N0572,0.0001,ring
N0572,N0573,0.0038,ring
N0573,N0574,0.0075,ring
N0574,N0575,0.0112,ring
N0575,N0576,0.0009,ring
N0576,N0577,0.0046,ring
N0577,N0578,0.0083,ring
N0578,N0579,0.0120,ring
N0579,N0580,0.0017,ring
N0580,N0581,0.0054,ring
N0581,N0582,0.0091,ring
N0582,N0583,0.0128,ring
N0583,N0584,0.0025,ring
N0584,N0585,0.0062,ring
N0585,N0586,0.0099,ring
N0586,N0587,0.0136,ring
N0587,N0588,0.0033,ring
N0588,N0589,0.0070,ring
N0589,N0590,0.0107,ring
N0590,N0591,0.0004,ring
N0591,N0592,0.0041,ring
N0592,N0593,0.0078,ring
N0593,N0594,0.0115,ring
N0594,N0595,0.0012,ring
N0595,N0596,0.0049,ring
N0596,N0597,0.0086,ring
N0597,N0598,0.0123,ring
N0598,N0599,0.0020,ring
N0599,N0600,0.0057,ring
N0600,N0601,0.0094,ring
N0601,N0602,0.0131,ring
N0602,N0603,0.0028,ring
N0603,N0604,0.0065,ring
N0604,N0605,0.0102,ring
N0605,N0606,0.0139,ring
N0606,N0607,0.0036,ring
N0607,N0608,0.0073,ring
N0608,N0609,0.0110,ring
N0609,N0610,0.0007,ring
N0610,N0611,0.0044,ring
N0611,N0612,0.0081,ring
N0612,N0613,0.0118,ring
N0613,N0614,0.0015,ring
N0614,N0615,0.0052,ring
N0615,N0616,0.0089,ring
N0616,N0617,0.0126,ring
N0617,N0618,0.0023,ring
N0618,N0619,0.0060,ring
N0619,N0620,0.0097,ring
N0620,N0621,0.0134,ring
N0621,N0622,0.0031,ring
N0622,N0623,0.0068,ring
N0623,N0624,0.0105,ring
N0624,N0625,0.0002,ring
N0625,N0626,0.0039,ring
N0626,N0627,0.0076,ring
N0627,N0628,0.0113,ring
N0628,N0629,0.0010,ring
N0629,N0630,0.0047,ring
N0630,N0631,0.0084,ring
N0631,N0632,0.0121,ring
N0632,N0633,0.0018,ring
N0633,N0634,0.0055,ring
N0634,N0635,0.0092,ring
N0635,N0636,0.0129,ring
N0636,N0637,0.0026,ring
N0637,N0638,0.0063,ring
N0638,N0639,0.0100,ring
N0639,N0640,0.0137,ring
N0640,N0641,0.0034,ring
N0641,N0642,0.0071,ring
N0642,N0643,0.0108,ring
N0643,N0644,0.0005,ring
N0644,N0645,0.0042,ring
N0645,N0646,0.0079,ring
N0646,N0647,0.0116,ring
N0647,N0648,0.0013,ring
N0648,N0649,0.0050,ring
N0649,N0650,0.0087,ring
N0650,N0651,0.0124,ring
N0651,N0652,0.0021,ring
N0652,N0653,0.0058,ring
N0653,N0654,0.0095,ring
N0654,N0655,0.0132,ring
N0655,N0656,0.0029,ring
N0656,N0657,0.0066,ring
N0657,N0658,0.0103,ring
N0658,N0659,0.0140,ring
N0659,N0660,0.0037,ring
N0660,N0661,0.0074,ring
N0661,N0662,0.0111,ring
N0662,N0663,0.0008,ring
N0663,N0664,0.0045,ring
N0664,N0665,0.0082,ring
N0665,N0666,0.0119,ring
N0666,N0667,0.0016,ring
N0667,N0668,0.0053,ring
N0668,N0669,0.0090,ring
N0669,N0670,0.0127,ring
N0670,N0671,0.0024,ring
N0671,N0672,0.0061,ring
N0672,N0673,0.0098,ring
N0673,N0674,0.0135,ring
N0674,N0675,0.0032,ring
N0675,N0676,0.0069,ring
N0676,N0677,0.0106,ring
N0677,N0678,0.0003,ring
N0678,N0679,0.0040,ring
N0679,N0680,0.0077,ring
N0680,N0681,0.0114,ring
N0681,N0682,0.0011,ring
N0682,N0683,0.0048,ring
N0683,N0684,0.0085,ring
N0684,N0685,0.0122,ring
N0685,N0686,0.0019,ring
N0686,N0687,0.0056,ring
N0687,N0688,0.0093,ring
N0688,N0689,0.0130,ring
N0689,N0690,0.0027,ring
N0690,N0691,0.0064,ring
N0691,N0692,0.0101,ring
N0692,N0693,0.0138,ring
N0693,N0694,0.0035,ring
N0694,N0695,0.0072,ring
N0695,N0696,0.0109,ring
N0696,N0697,0.0006,ring
N0697,N0698,0.0043,ring
N0698,N0699,0.0080,ring
N0699,N0700,0.0117,ring
N0700,N0701,0.0014,ring
N0701,N0702,0.0051,ring
N0702,N0703,0.0088,ring
N0703,N0704,0.0125,ring
N0704,N0705,0.0022,ring
N0705,N0706,0.0059,ring
N0706,N0707,0.0096,ring
N0707,N0708,0.0133,ring
N0708,N0709,0.0030,ring
N0709,N0710,0.0067,ring
N0710,N0711,0.0104,ring
N0711,N0712,0.0001,ring
N0712,N0713,0.0038,ring
N0713,N0714,0.0075,ring
N0714,N0715,0.0112,ring
N0715,N0716,0.0009,ring
N0716,N0717,0.0046,ring
N0717,N0718,0.0083,ring
N0718,N0719,0.0120,ring
N0719,N0720,0.0017,ring
N0720,N0721,0.0054,ring
N0721,N0722,0.0091,ring
N0722,N0723,0.0128,ring
N0723,N0724,0.0025,ring
N0724,N0725,0.0062,ring
N0725,N0726,0.0099,ring
N0726,N0727,0.0136,ring
N0727,N0728,0.0033,ring
N0728,N0729,0.0070,ring
N0729,N0730,0.0107,ring
N0730,N0731,0.0004,ring
N0731,N0732,0.0041,ring
N0732,N0733,0.0078,ring
N0733,N0734,0.0115,ring
N0734,N0735,0.0012,ring
N0735,N0736,0.0049,ring
N0736,N0737,0.0086,ring
N0737,N0738,0.0123,ring
N0738,N0739,0.0020,ring
N0739,N0740,0.0057,ring
N0740,N0741,0.0094,ring
N0741,N0742,0.0131,ring
N0742,N0743,0.0028,ring
N0743,N0744,0.0065,ring
N0744,N0745,0.0102,ring
N0745,N0746,0.0139,ring
N0746,N0747,0.0036,ring
N0747,N0748,0.0073,ring
N0748,N0749,0.0110,ring
N0749,N0750,0.0007,ring
N0750,N0751,0.0044,ring
N0751,N0752,0.0081,ring
N0752,N0753,0.0118,ring
N0753,N0754,0.0015,ring
N0754,N0755,0.0052,ring
N0755,N0756,0.0089,ring
N0756,N0757,0.0126,ring
N0757,N0758,0.0023,ring
N0758,N0759,0.0060,ring
N0759,N0760,0.0097,ring
N0760,N0761,0.0134,ring
N0761,N0762,0.0031,ring
N0762,N0763,0.0068,ring
N0763,N0764,0.0105,ring
N0764,N0765,0.0002,ring
N0765,N0766,0.0039,ring
N0766,N0767,0.0076,ring
N0767,N0768,0.0113,ring
N0768,N0769,0.0010,ring
N0769,N0770,0.0047,ring
N0770,N0771,0.0084,ring
N0771,N0772,0.0121,ring
N0772,N0773,0.0018,ring
N0773,N0774,0.0055,ring
N0774,N0775,0.0092,ring
N0775,N0776,0.0129,ring
N0776,N0777,0.0026,ring
N0777,N0778,0.0063,ring
N0778,N0779,0.0100,ring
N0779,N0780,0.0137,ring
N0780,N0781,0.0034,ring
N0781,N0782,0.0071,ring
N0782,N0783,0.0108,ring
N0783,N0784,0.0005,ring
N0784,N0785,0.0042,ring
N0785,N0786,0.0079,ring
N0786,N0787,0.0116,ring
N0787,N0788,0.0013,ring
N0788,N0789,0.0050,ring
N0789,N0790,0.0087,ring
N0790,N0791,0.0124,ring
N0791,N0792,0.0021,ring
N0792,N0793,0.0058,ring
N0793,N0794,0.0095,ring
N0794,N0795,0.0132,ring
N0795,N0796,0.0029,ring
N0796,N0797,0.0066,ring
N0797,N0798,0.0103,ring
N0798,N0799,0.0140,ring
N0799,N0800,0.0037,ring
N0800,N0801,0.0074,ring
N0801,N0802,0.0111,ring
N0802,N0803,0.0008,ring
N0803,N0804,0.0045,ring
N0804,N0805,0.0082,ring
N0805,N0806,0.0119,ring
N0806,N0807,0.0016,ring
N0807,N0808,0.0053,ring
N0808,N0809,0.0090,ring
N0809,N0810,0.0127,ring
N0810,N0811,0.0024,ring
N0811,N0812,0.0061,ring
N0812,N0813,0.0098,ring
N0813,N0814,0.0135,ring
N0814,N0815,0.0032,ring
N0815,N0816,0.0069,ring
N0816,N0817,0.0106,ring
N0817,N0818,0.0003,ring
N0818,N0819,0.0040,ring
N0819,N0820,0.0077,ring
N0820,N0821,0.0114,ring
N0821,N0822,0.0011,ring
N0822,N0823,0.0048,ring
N0823,N0824,0.0085,ring
N0824,N0825,0.0122,ring
N0825,N0826,0.0019,ring
N0826,N0827,0.0056,ring
N0827,N0828,0.0093,ring
N0828,N0829,0.0130,ring
N0829,N0830,0.0027,ring
N0830,N0831,0.0064,ring
N0831,N0832,0.0101,ring
N0832,N0833,0.0138,ring
N0833,N0834,0.0035,ring
N0834,N0835,0.0072,ring
N0835,N0836,0.0109,ring
N0836,N0837,0.0006,ring
N0837,N0838,0.0043,ring
N0838,N0839,0.0080,ring
N0839,N0840,0.0117,ring
N0840,N0841,0.0014,ring
N0841,N0842,0.0051,ring
N0842,N0843,0.0088,ring
N0843,N0844,0.0125,ring
N0844,N0845,0.0022,ring
N0845,N0846,0.0059,ring
N0846,N0847,0.0096,ring
N0847,N0848,0.0133,ring
N0848,N0849,0.0030,ring
N0849,N0850,0.0067,ring
N0850,N0851,0.0104,ring
N0851,N0852,0.0001,ring
N0852,N0853,0.0038,ring
N0853,N0854,0.0075,ring
N0854,N0855,0.0112,ring
N0855,N0856,0.0009,ring
N0856,N0857,0.0046,ring
N0857,N0858,0.0083,ring
N0858,N0859,0.0120,ring
N0859,N0860,0.0017,ring
N0860,N0861,0.0054,ring
N0861,N0862,0.0091,ring
N0862,N0863,0.0128,ring
N0863,N0864,0.0025,ring
N0864,N0865,0.0062,ring
N0865,N0866,0.0099,ring
N0866,N0867,0.0136,ring
N0867,N0868,0.0033,ring
N0868,N0869,0.0070,ring
N0869,N0870,0.0107,ring
N0870,N0871,0.0004,ring
N0871,N0872,0.0041,ring
N0872,N0873,0.0078,ring
N0873,N0874,0.0115,ring
