source,target,distance
MZ727701,MZ745181,59
MZ727701,MZ798055,63
MZ727701,MZ797839,64
MZ727700,MZ797980,55
MZ727700,MZ375596,57
MZ727700,MZ745515,57
MZ727700,MZ797832,58
MZ727700,MZ415508,57
MZ727700,MZ505967,59
MZ727700,MZ797748,60
MZ727700,MZ797703,59
MZ727700,MZ797965,61
MZ727700,MZ745181,60
MZ727700,MZ798055,64
MZ727700,MZ797839,65
MZ727700,MZ727701,12
MZ759709,MZ797980,52
MZ759709,MZ375596,56
MZ759709,MZ745515,54
MZ759709,MZ797832,57
MZ759709,MZ415508,52
MZ759709,MZ505967,54
MZ759709,MZ797748,59
MZ759709,MZ797703,58
MZ759709,MZ797965,60
MZ759709,MZ745181,59
MZ759709,MZ798055,63
MZ759709,MZ797839,64
MZ759709,MZ727701,50
MZ759709,MZ727700,50
MZ637292,MZ797980,26
MZ637292,MZ375596,8
MZ637292,MZ745515,28
MZ637292,MZ797832,9
MZ637292,MZ415508,48
MZ637292,MZ505967,49
MZ637292,MZ797748,5
MZ637292,MZ797703,12
MZ637292,MZ797965,12
MZ637292,MZ745181,13
MZ637292,MZ798055,15
MZ637292,MZ797839,18
MZ637292,MZ727701,62
MZ637292,MZ727700,63
MZ637292,MZ759709,62
MZ744384,MZ797980,60
MZ744384,MZ375596,62
MZ744384,MZ745515,60
MZ744384,MZ797832,63
MZ744384,MZ415508,61
MZ744384,MZ505967,60
MZ744384,MZ797748,65
MZ744384,MZ797703,66
MZ744384,MZ797965,66
MZ744384,MZ745181,67
MZ744384,MZ798055,69
MZ744384,MZ797839,72
MZ744384,MZ727701,59
MZ744384,MZ727700,59
MZ744384,MZ759709,53
MZ744384,MZ797519,4
MZ744384,MZ637292,68
MZ712879,MZ797980,22
MZ712879,MZ375596,28
MZ712879,MZ745515,5
MZ712879,MZ797832,29
MZ712879,MZ415508,42
MZ712879,MZ505967,43
MZ712879,MZ797748,31
MZ712879,MZ797703,32
MZ712879,MZ797965,32
MZ712879,MZ745181,34
MZ712879,MZ798055,35
MZ712879,MZ797839,36
MZ712879,MZ727701,58
MZ712879,MZ727700,59
MZ712879,MZ759709,55
MZ712879,MZ637292,29
MZ712879,MZ744384,61
MZ797735,MZ797980,62
MZ797735,MZ375596,64
MZ797735,MZ745515,62
MZ797735,MZ797832,65
MZ797735,MZ415508,63
MZ797735,MZ505967,62
MZ797735,MZ797748,67
MZ797735,MZ797703,68
MZ797735,MZ797965,68
MZ797735,MZ745181,69
MZ797735,MZ798055,71
MZ797735,MZ797839,74
MZ797735,MZ727701,61
MZ797735,MZ727700,61
MZ797735,MZ759709,55
MZ797735,MZ637292,70
MZ797735,MZ744384,18
MZ797735,MZ712879,63
MZ712835,MZ797980,29
MZ712835,MZ375596,7
MZ712835,MZ745515,32
MZ712835,MZ797832,8
MZ712835,MZ415508,45
MZ712835,MZ505967,46
MZ712835,MZ797748,14
MZ712835,MZ797703,15
MZ712835,MZ797965,11
MZ712835,MZ745181,17
MZ712835,MZ798055,18
MZ712835,MZ797839,21
MZ712835,MZ727701,61
MZ712835,MZ727700,62
MZ712835,MZ759709,60
MZ712835,MZ637292,12
MZ712835,MZ744384,66
MZ712835,MZ712879,33
MZ712835,MZ797735,68
MZ744285,MZ797980,65
MZ744285,MZ375596,67
MZ744285,MZ745515,65
MZ744285,MZ797832,68
MZ744285,MZ415508,66
MZ744285,MZ505967,65
MZ744285,MZ797748,70
MZ744285,MZ797703,71
MZ744285,MZ797965,71
MZ744285,MZ745181,72
MZ744285,MZ798055,74
MZ744285,MZ797839,77
MZ744285,MZ727701,64
MZ744285,MZ727700,64
MZ744285,MZ759709,58
MZ744285,MZ637292,73
MZ744285,MZ744384,15
MZ744285,MZ712879,66
MZ744285,MZ797735,23
MZ744285,MZ712835,71
MZ797519,MZ797980,65
MZ797519,MZ375596,67
MZ797519,MZ745515,65
MZ797519,MZ797832,68
MZ797519,MZ415508,63
MZ797519,MZ505967,64
MZ797519,MZ797748,70
MZ797519,MZ797703,71
MZ797519,MZ797965,71
MZ797519,MZ745181,72
MZ797519,MZ798055,74
MZ797519,MZ797839,77
MZ797519,MZ727701,62
MZ797519,MZ727700,62
MZ797519,MZ759709,56
MZ797519,MZ637292,73
MZ797519,MZ744384,23
MZ797519,MZ712879,66
MZ797519,MZ797735,25
MZ797519,MZ712835,71
MZ797519,MZ744285,28
MZ740979,MZ797980,64
MZ740979,MZ375596,68
MZ740979,MZ745515,66
MZ740979,MZ797832,69
MZ740979,MZ415508,65
MZ740979,MZ505967,67
MZ740979,MZ797748,71
MZ740979,MZ797703,70
MZ740979,MZ797965,72
MZ740979,MZ745181,71
MZ740979,MZ798055,74
MZ740979,MZ797839,76
MZ740979,MZ727701,63
MZ740979,MZ727700,63
MZ740979,MZ759709,37
MZ740979,MZ637292,74
MZ740979,MZ744384,70
MZ740979,MZ712879,67
MZ740979,MZ797735,72
MZ740979,MZ712835,72
MZ740979,MZ744285,75
MZ740979,MZ797519,73
MZ787305,MZ797980,51
MZ787305,MZ375596,55
MZ787305,MZ745515,53
MZ787305,MZ797832,56
MZ787305,MZ415508,51
MZ787305,MZ505967,53
MZ787305,MZ797748,58
MZ787305,MZ797703,57
MZ787305,MZ797965,59
MZ787305,MZ745181,58
MZ787305,MZ798055,62
MZ787305,MZ797839,63
MZ787305,MZ727701,48
MZ787305,MZ727700,48
MZ787305,MZ759709,22
MZ787305,MZ637292,61
MZ787305,MZ744384,57
MZ787305,MZ712879,54
MZ787305,MZ797735,59
MZ787305,MZ712835,59
MZ787305,MZ744285,62
MZ787305,MZ797519,60
MZ787305,MZ740979,33
MZ727689,MZ797980,61
MZ727689,MZ375596,63
MZ727689,MZ745515,63
MZ727689,MZ797832,64
MZ727689,MZ415508,63
MZ727689,MZ505967,65
MZ727689,MZ797748,66
MZ727689,MZ797703,65
MZ727689,MZ797965,67
MZ727689,MZ745181,66
MZ727689,MZ798055,70
MZ727689,MZ797839,71
MZ727689,MZ727701,18
MZ727689,MZ727700,8
MZ727689,MZ759709,56
MZ727689,MZ637292,69
MZ727689,MZ744384,65
MZ727689,MZ712879,65
MZ727689,MZ797735,67
MZ727689,MZ712835,68
MZ727689,MZ744285,70
MZ727689,MZ797519,67
MZ727689,MZ740979,69
MZ727689,MZ787305,53
MZ591568,MZ797980,51
MZ591568,MZ375596,53
MZ591568,MZ745515,51
MZ591568,MZ797832,53
MZ591568,MZ415508,52
MZ591568,MZ505967,52
MZ591568,MZ797748,56
MZ591568,MZ797703,57
MZ591568,MZ797965,57
MZ591568,MZ745181,57
MZ591568,MZ798055,59
MZ591568,MZ797839,63
MZ591568,MZ727701,47
MZ591568,MZ727700,47
MZ591568,MZ759709,42
MZ591568,MZ637292,59
MZ591568,MZ744384,55
MZ591568,MZ712879,52
MZ591568,MZ797735,57
MZ591568,MZ712835,56
MZ591568,MZ744285,60
MZ591568,MZ797519,57
MZ591568,MZ740979,55
MZ591568,MZ787305,37
MZ591568,MZ727689,53
MZ696569,MZ797980,55
MZ696569,MZ375596,57
MZ696569,MZ745515,55
MZ696569,MZ797832,58
MZ696569,MZ415508,56
MZ696569,MZ505967,56
MZ696569,MZ797748,60
MZ696569,MZ797703,61
MZ696569,MZ797965,61
MZ696569,MZ745181,62
MZ696569,MZ798055,63
MZ696569,MZ797839,65
MZ696569,MZ727701,50
MZ696569,MZ727700,50
MZ696569,MZ759709,45
MZ696569,MZ637292,63
MZ696569,MZ744384,58
MZ696569,MZ712879,56
MZ696569,MZ797735,60
MZ696569,MZ712835,61
MZ696569,MZ744285,63
MZ696569,MZ797519,61
MZ696569,MZ740979,58
MZ696569,MZ787305,43
MZ696569,MZ727689,56
MZ696569,MZ591568,21
MZ761907,MZ797980,27
MZ761907,MZ375596,5
MZ761907,MZ745515,31
MZ761907,MZ797832,6
MZ761907,MZ415508,43
MZ761907,MZ505967,44
MZ761907,MZ797748,12
MZ761907,MZ797703,13
MZ761907,MZ797965,9
MZ761907,MZ745181,16
MZ761907,MZ798055,15
MZ761907,MZ797839,19
MZ761907,MZ727701,59
MZ761907,MZ727700,60
MZ761907,MZ759709,58
MZ761907,MZ637292,11
MZ761907,MZ744384,65
MZ761907,MZ712879,31
MZ761907,MZ797735,67
MZ761907,MZ712835,10
MZ761907,MZ744285,70
MZ761907,MZ797519,70
MZ761907,MZ740979,70
MZ761907,MZ787305,57
MZ761907,MZ727689,66
MZ761907,MZ591568,56
MZ761907,MZ696569,60
MZ762276,MZ797980,27
MZ762276,MZ375596,33
MZ762276,MZ745515,19
MZ762276,MZ797832,34
MZ762276,MZ415508,47
MZ762276,MZ505967,48
MZ762276,MZ797748,36
MZ762276,MZ797703,37
MZ762276,MZ797965,37
MZ762276,MZ745181,40
MZ762276,MZ798055,39
MZ762276,MZ797839,43
MZ762276,MZ727701,63
MZ762276,MZ727700,64
MZ762276,MZ759709,61
MZ762276,MZ637292,35
MZ762276,MZ744384,67
MZ762276,MZ712879,19
MZ762276,MZ797735,69
MZ762276,MZ712835,38
MZ762276,MZ744285,72
MZ762276,MZ797519,72
MZ762276,MZ740979,73
MZ762276,MZ787305,60
MZ762276,MZ727689,70
MZ762276,MZ591568,57
MZ762276,MZ696569,62
MZ762276,MZ761907,36
MZ727698,MZ797980,59
MZ727698,MZ375596,61
MZ727698,MZ745515,61
MZ727698,MZ797832,62
MZ727698,MZ415508,61
MZ727698,MZ505967,62
MZ727698,MZ797748,64
MZ727698,MZ797703,63
MZ727698,MZ797965,65
MZ727698,MZ745181,64
MZ727698,MZ798055,68
MZ727698,MZ797839,69
MZ727698,MZ727701,17
MZ727698,MZ727700,17
MZ727698,MZ759709,54
MZ727698,MZ637292,67
MZ727698,MZ744384,63
MZ727698,MZ712879,63
MZ727698,MZ797735,65
MZ727698,MZ712835,66
MZ727698,MZ744285,66
MZ727698,MZ797519,65
MZ727698,MZ740979,67
MZ727698,MZ787305,51
MZ727698,MZ727689,7
MZ727698,MZ591568,51
MZ727698,MZ696569,54
MZ727698,MZ761907,64
MZ727698,MZ762276,68
