source,target,cluster_id,expected_cluster_size,topology
size_008_chain_01_node_002,size_008_chain_01_node_003,size_008_chain_01,8,chain
size_008_chain_01_node_003,size_008_chain_01_node_004,size_008_chain_01,8,chain
size_008_chain_01_node_004,size_008_chain_01_node_005,size_008_chain_01,8,chain
size_008_chain_01_node_005,size_008_chain_01_node_006,size_008_chain_01,8,chain
size_008_chain_01_node_006,size_008_chain_01_node_007,size_008_chain_01,8,chain
size_008_chain_01_node_007,size_008_chain_01_node_008,size_008_chain_01,8,chain
size_008_star_02_node_001,size_008_star_02_node_002,size_008_star_02,8,star
size_008_star_02_node_001,size_008_star_02_node_003,size_008_star_02,8,star
size_008_star_02_node_001,size_008_star_02_node_004,size_008_star_02,8,star
size_008_star_02_node_001,size_008_star_02_node_005,size_008_star_02,8,star
size_008_star_02_node_001,size_008_star_02_node_006,size_008_star_02,8,star
size_008_star_02_node_001,size_008_star_02_node_007,size_008_star_02,8,star
size_008_star_02_node_001,size_008_star_02_node_008,size_008_star_02,8,star
size_008_cycle_03_node_001,size_008_cycle_03_node_002,size_008_cycle_03,8,cycle
size_008_cycle_03_node_002,size_008_cycle_03_node_003,size_008_cycle_03,8,cycle
size_008_cycle_03_node_003,size_008_cycle_03_node_004,size_008_cycle_03,8,cycle
size_008_cycle_03_node_004,size_008_cycle_03_node_005,size_008_cycle_03,8,cycle
size_008_cycle_03_node_005,size_008_cycle_03_node_006,size_008_cycle_03,8,cycle
size_008_cycle_03_node_006,size_008_cycle_03_node_007,size_008_cycle_03,8,cycle
size_008_cycle_03_node_007,size_008_cycle_03_node_008,size_008_cycle_03,8,cycle
size_008_cycle_03_node_008,size_008_cycle_03_node_001,size_008_cycle_03,8,cycle
size_008_binary_tree_04_node_001,size_008_binary_tree_04_node_002,size_008_binary_tree_04,8,binary_tree
size_008_binary_tree_04_node_001,size_008_binary_tree_04_node_003,size_008_binary_tree_04,8,binary_tree
size_008_binary_tree_04_node_002,size_008_binary_tree_04_node_004,size_008_binary_tree_04,8,binary_tree
size_008_binary_tree_04_node_002,size_008_binary_tree_04_node_005,size_008_binary_tree_04,8,binary_tree
size_008_binary_tree_04_node_003,size_008_binary_tree_04_node_006,size_008_binary_tree_04,8,binary_tree
size_008_binary_tree_04_node_003,size_008_binary_tree_04_node_007,size_008_binary_tree_04,8,binary_tree
size_008_binary_tree_04_node_004,size_008_binary_tree_04_node_008,size_008_binary_tree_04,8,binary_tree
size_009_chain_01_node_001,size_009_chain_01_node_002,size_009_chain_01,9,chain
size_009_chain_01_node_002,size_009_chain_01_node_003,size_009_chain_01,9,chain
size_009_chain_01_node_003,size_009_chain_01_node_004,size_009_chain_01,9,chain
size_009_chain_01_node_004,size_009_chain_01_node_005,size_009_chain_01,9,chain
size_009_chain_01_node_005,size_009_chain_01_node_006,size_009_chain_01,9,chain
size_009_chain_01_node_006,size_009_chain_01_node_007,size_009_chain_01,9,chain
size_009_chain_01_node_007,size_009_chain_01_node_008,size_009_chain_01,9,chain
size_009_chain_01_node_008,size_009_chain_01_node_009,size_009_chain_01,9,chain
size_009_star_02_node_001,size_009_star_02_node_002,size_009_star_02,9,star
size_009_star_02_node_001,size_009_star_02_node_003,size_009_star_02,9,star
size_009_star_02_node_001,size_009_star_02_node_004,size_009_star_02,9,star
size_009_star_02_node_001,size_009_star_02_node_005,size_009_star_02,9,star
size_009_star_02_node_001,size_009_star_02_node_006,size_009_star_02,9,star
size_009_star_02_node_001,size_009_star_02_node_007,size_009_star_02,9,star
size_009_star_02_node_001,size_009_star_02_node_008,size_009_star_02,9,star
size_009_star_02_node_001,size_009_star_02_node_009,size_009_star_02,9,star
size_009_cycle_03_node_001,size_009_cycle_03_node_002,size_009_cycle_03,9,cycle
size_009_cycle_03_node_002,size_009_cycle_03_node_003,size_009_cycle_03,9,cycle
size_009_cycle_03_node_003,size_009_cycle_03_node_004,size_009_cycle_03,9,cycle
size_009_cycle_03_node_004,size_009_cycle_03_node_005,size_009_cycle_03,9,cycle
size_009_cycle_03_node_005,size_009_cycle_03_node_006,size_009_cycle_03,9,cycle
size_009_cycle_03_node_006,size_009_cycle_03_node_007,size_009_cycle_03,9,cycle
size_009_cycle_03_node_007,size_009_cycle_03_node_008,size_009_cycle_03,9,cycle
size_009_cycle_03_node_008,size_009_cycle_03_node_009,size_009_cycle_03,9,cycle
size_009_cycle_03_node_009,size_009_cycle_03_node_001,size_009_cycle_03,9,cycle
size_009_binary_tree_04_node_001,size_009_binary_tree_04_node_002,size_009_binary_tree_04,9,binary_tree
size_009_binary_tree_04_node_001,size_009_binary_tree_04_node_003,size_009_binary_tree_04,9,binary_tree
size_009_binary_tree_04_node_002,size_009_binary_tree_04_node_004,size_009_binary_tree_04,9,binary_tree
size_009_binary_tree_04_node_002,size_009_binary_tree_04_node_005,size_009_binary_tree_04,9,binary_tree
size_009_binary_tree_04_node_003,size_009_binary_tree_04_node_006,size_009_binary_tree_04,9,binary_tree
size_009_binary_tree_04_node_003,size_009_binary_tree_04_node_007,size_009_binary_tree_04,9,binary_tree
size_009_binary_tree_04_node_004,size_009_binary_tree_04_node_008,size_009_binary_tree_04,9,binary_tree
size_009_binary_tree_04_node_004,size_009_binary_tree_04_node_009,size_009_binary_tree_04,9,binary_tree
size_010_chain_01_node_001,size_010_chain_01_node_002,size_010_chain_01,10,chain
size_010_chain_01_node_002,size_010_chain_01_node_003,size_010_chain_01,10,chain
size_010_chain_01_node_003,size_010_chain_01_node_004,size_010_chain_01,10,chain
size_010_chain_01_node_004,size_010_chain_01_node_005,size_010_chain_01,10,chain
size_010_chain_01_node_005,size_010_chain_01_node_006,size_010_chain_01,10,chain
size_010_chain_01_node_006,size_010_chain_01_node_007,size_010_chain_01,10,chain
size_010_chain_01_node_007,size_010_chain_01_node_008,size_010_chain_01,10,chain
size_010_chain_01_node_008,size_010_chain_01_node_009,size_010_chain_01,10,chain
size_010_chain_01_node_009,size_010_chain_01_node_010,size_010_chain_01,10,chain
size_010_star_02_node_001,size_010_star_02_node_002,size_010_star_02,10,star
size_010_star_02_node_001,size_010_star_02_node_003,size_010_star_02,10,star
size_010_star_02_node_001,size_010_star_02_node_004,size_010_star_02,10,star
size_010_star_02_node_001,size_010_star_02_node_005,size_010_star_02,10,star
size_010_star_02_node_001,size_010_star_02_node_006,size_010_star_02,10,star
size_010_star_02_node_001,size_010_star_02_node_007,size_010_star_02,10,star
size_010_star_02_node_001,size_010_star_02_node_008,size_010_star_02,10,star
size_010_star_02_node_001,size_010_star_02_node_009,size_010_star_02,10,star
size_010_star_02_node_001,size_010_star_02_node_010,size_010_star_02,10,star
size_010_cycle_03_node_001,size_010_cycle_03_node_002,size_010_cycle_03,10,cycle
size_010_cycle_03_node_002,size_010_cycle_03_node_003,size_010_cycle_03,10,cycle
size_010_cycle_03_node_003,size_010_cycle_03_node_004,size_010_cycle_03,10,cycle
size_010_cycle_03_node_004,size_010_cycle_03_node_005,size_010_cycle_03,10,cycle
size_010_cycle_03_node_005,size_010_cycle_03_node_006,size_010_cycle_03,10,cycle
size_010_cycle_03_node_006,size_010_cycle_03_node_007,size_010_cycle_03,10,cycle
size_010_cycle_03_node_007,size_010_cycle_03_node_008,size_010_cycle_03,10,cycle
size_010_cycle_03_node_008,size_010_cycle_03_node_009,size_010_cycle_03,10,cycle
size_010_cycle_03_node_009,size_010_cycle_03_node_010,size_010_cycle_03,10,cycle
size_010_cycle_03_node_010,size_010_cycle_03_node_001,size_010_cycle_03,10,cycle
size_010_binary_tree_04_node_001,size_010_binary_tree_04_node_002,size_010_binary_tree_04,10,binary_tree
size_010_binary_tree_04_node_001,size_010_binary_tree_04_node_003,size_010_binary_tree_04,10,binary_tree
size_010_binary_tree_04_node_002,size_010_binary_tree_04_node_004,size_010_binary_tree_04,10,binary_tree
size_010_binary_tree_04_node_002,size_010_binary_tree_04_node_005,size_010_binary_tree_04,10,binary_tree
size_010_binary_tree_04_node_003,size_010_binary_tree_04_node_006,size_010_binary_tree_04,10,binary_tree
size_010_binary_tree_04_node_003,size_010_binary_tree_04_node_007,size_010_binary_tree_04,10,binary_tree
size_010_binary_tree_04_node_004,size_010_binary_tree_04_node_008,size_010_binary_tree_04,10,binary_tree
size_010_binary_tree_04_node_004,size_010_binary_tree_04_node_009,size_010_binary_tree_04,10,binary_tree
size_010_binary_tree_04_node_005,size_010_binary_tree_04_node_010,size_010_binary_tree_04,10,binary_tree
size_011_chain_01_node_001,size_011_chain_01_node_002,size_011_chain_01,11,chain
size_011_chain_01_node_002,size_011_chain_01_node_003,size_011_chain_01,11,chain
size_011_chain_01_node_003,size_011_chain_01_node_004,size_011_chain_01,11,chain
size_011_chain_01_node_004,size_011_chain_01_node_005,size_011_chain_01,11,chain
size_011_chain_01_node_005,size_011_chain_01_node_006,size_011_chain_01,11,chain
size_011_chain_01_node_006,size_011_chain_01_node_007,size_011_chain_01,11,chain
size_011_chain_01_node_007,size_011_chain_01_node_008,size_011_chain_01,11,chain
size_011_chain_01_node_008,size_011_chain_01_node_009,size_011_chain_01,11,chain
size_011_chain_01_node_009,size_011_chain_01_node_010,size_011_chain_01,11,chain
size_011_chain_01_node_010,size_011_chain_01_node_011,size_011_chain_01,11,chain
size_011_star_02_node_001,size_011_star_02_node_002,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_003,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_004,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_005,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_006,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_007,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_008,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_009,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_010,size_011_star_02,11,star
size_011_star_02_node_001,size_011_star_02_node_011,size_011_star_02,11,star
size_011_cycle_03_node_001,size_011_cycle_03_node_002,size_011_cycle_03,11,cycle
size_011_cycle_03_node_002,size_011_cycle_03_node_003,size_011_cycle_03,11,cycle
size_011_cycle_03_node_003,size_011_cycle_03_node_004,size_011_cycle_03,11,cycle
size_011_cycle_03_node_004,size_011_cycle_03_node_005,size_011_cycle_03,11,cycle
size_011_cycle_03_node_005,size_011_cycle_03_node_006,size_011_cycle_03,11,cycle
size_011_cycle_03_node_006,size_011_cycle_03_node_007,size_011_cycle_03,11,cycle
size_011_cycle_03_node_007,size_011_cycle_03_node_008,size_011_cycle_03,11,cycle
size_011_cycle_03_node_008,size_011_cycle_03_node_009,size_011_cycle_03,11,cycle
size_011_cycle_03_node_009,size_011_cycle_03_node_010,size_011_cycle_03,11,cycle
size_011_cycle_03_node_010,size_011_cycle_03_node_011,size_011_cycle_03,11,cycle
size_011_cycle_03_node_011,size_011_cycle_03_node_001,size_011_cycle_03,11,cycle
size_011_binary_tree_04_node_001,size_011_binary_tree_04_node_002,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_001,size_011_binary_tree_04_node_003,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_002,size_011_binary_tree_04_node_004,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_002,size_011_binary_tree_04_node_005,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_003,size_011_binary_tree_04_node_006,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_003,size_011_binary_tree_04_node_007,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_004,size_011_binary_tree_04_node_008,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_004,size_011_binary_tree_04_node_009,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_005,size_011_binary_tree_04_node_010,size_011_binary_tree_04,11,binary_tree
size_011_binary_tree_04_node_005,size_011_binary_tree_04_node_011,size_011_binary_tree_04,11,binary_tree
size_012_chain_01_node_001,size_012_chain_01_node_002,size_012_chain_01,12,chain
size_012_chain_01_node_002,size_012_chain_01_node_003,size_012_chain_01,12,chain
size_012_chain_01_node_003,size_012_chain_01_node_004,size_012_chain_01,12,chain
size_012_chain_01_node_004,size_012_chain_01_node_005,size_012_chain_01,12,chain
size_012_chain_01_node_005,size_012_chain_01_node_006,size_012_chain_01,12,chain
size_012_chain_01_node_006,size_012_chain_01_node_007,size_012_chain_01,12,chain
size_012_chain_01_node_007,size_012_chain_01_node_008,size_012_chain_01,12,chain
size_012_chain_01_node_008,size_012_chain_01_node_009,size_012_chain_01,12,chain
size_012_chain_01_node_009,size_012_chain_01_node_010,size_012_chain_01,12,chain
size_012_chain_01_node_010,size_012_chain_01_node_011,size_012_chain_01,12,chain
size_012_chain_01_node_011,size_012_chain_01_node_012,size_012_chain_01,12,chain
size_012_star_02_node_001,size_012_star_02_node_002,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_003,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_004,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_005,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_006,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_007,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_008,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_009,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_010,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_011,size_012_star_02,12,star
size_012_star_02_node_001,size_012_star_02_node_012,size_012_star_02,12,star
size_012_cycle_03_node_001,size_012_cycle_03_node_002,size_012_cycle_03,12,cycle
size_012_cycle_03_node_002,size_012_cycle_03_node_003,size_012_cycle_03,12,cycle
size_012_cycle_03_node_003,size_012_cycle_03_node_004,size_012_cycle_03,12,cycle
size_012_cycle_03_node_004,size_012_cycle_03_node_005,size_012_cycle_03,12,cycle
size_012_cycle_03_node_005,size_012_cycle_03_node_006,size_012_cycle_03,12,cycle
size_012_cycle_03_node_006,size_012_cycle_03_node_007,size_012_cycle_03,12,cycle
size_012_cycle_03_node_007,size_012_cycle_03_node_008,size_012_cycle_03,12,cycle
size_012_cycle_03_node_008,size_012_cycle_03_node_009,size_012_cycle_03,12,cycle
size_012_cycle_03_node_009,size_012_cycle_03_node_010,size_012_cycle_03,12,cycle
size_012_cycle_03_node_010,size_012_cycle_03_node_011,size_012_cycle_03,12,cycle
size_012_cycle_03_node_011,size_012_cycle_03_node_012,size_012_cycle_03,12,cycle
size_012_cycle_03_node_012,size_012_cycle_03_node_001,size_012_cycle_03,12,cycle
size_012_binary_tree_04_node_001,size_012_binary_tree_04_node_002,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_001,size_012_binary_tree_04_node_003,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_002,size_012_binary_tree_04_node_004,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_002,size_012_binary_tree_04_node_005,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_003,size_012_binary_tree_04_node_006,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_003,size_012_binary_tree_04_node_007,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_004,size_012_binary_tree_04_node_008,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_004,size_012_binary_tree_04_node_009,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_005,size_012_binary_tree_04_node_010,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_005,size_012_binary_tree_04_node_011,size_012_binary_tree_04,12,binary_tree
size_012_binary_tree_04_node_006,size_012_binary_tree_04_node_012,size_012_binary_tree_04,12,binary_tree
size_013_chain_01_node_001,size_013_chain_01_node_002,size_013_chain_01,13,chain
size_013_chain_01_node_002,size_013_chain_01_node_003,size_013_chain_01,13,chain
size_013_chain_01_node_003,size_013_chain_01_node_004,size_013_chain_01,13,chain
size_013_chain_01_node_004,size_013_chain_01_node_005,size_013_chain_01,13,chain
size_013_chain_01_node_005,size_013_chain_01_node_006,size_013_chain_01,13,chain
size_013_chain_01_node_006,size_013_chain_01_node_007,size_013_chain_01,13,chain
size_013_chain_01_node_007,size_013_chain_01_node_008,size_013_chain_01,13,chain
size_013_chain_01_node_008,size_013_chain_01_node_009,size_013_chain_01,13,chain
size_013_chain_01_node_009,size_013_chain_01_node_010,size_013_chain_01,13,chain
size_013_chain_01_node_010,size_013_chain_01_node_011,size_013_chain_01,13,chain
size_013_chain_01_node_011,size_013_chain_01_node_012,size_013_chain_01,13,chain
size_013_chain_01_node_012,size_013_chain_01_node_013,size_013_chain_01,13,chain
size_013_star_02_node_001,size_013_star_02_node_002,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_003,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_004,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_005,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_006,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_007,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_008,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_009,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_010,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_011,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_012,size_013_star_02,13,star
size_013_star_02_node_001,size_013_star_02_node_013,size_013_star_02,13,star
size_013_cycle_03_node_001,size_013_cycle_03_node_002,size_013_cycle_03,13,cycle
size_013_cycle_03_node_002,size_013_cycle_03_node_003,size_013_cycle_03,13,cycle
size_013_cycle_03_node_003,size_013_cycle_03_node_004,size_013_cycle_03,13,cycle
size_013_cycle_03_node_004,size_013_cycle_03_node_005,size_013_cycle_03,13,cycle
size_013_cycle_03_node_005,size_013_cycle_03_node_006,size_013_cycle_03,13,cycle
size_013_cycle_03_node_006,size_013_cycle_03_node_007,size_013_cycle_03,13,cycle
size_013_cycle_03_node_007,size_013_cycle_03_node_008,size_013_cycle_03,13,cycle
size_013_cycle_03_node_008,size_013_cycle_03_node_009,size_013_cycle_03,13,cycle
size_013_cycle_03_node_009,size_013_cycle_03_node_010,size_013_cycle_03,13,cycle
size_013_cycle_03_node_010,size_013_cycle_03_node_011,size_013_cycle_03,13,cycle
size_013_cycle_03_node_011,size_013_cycle_03_node_012,size_013_cycle_03,13,cycle
size_013_cycle_03_node_012,size_013_cycle_03_node_013,size_013_cycle_03,13,cycle
size_013_cycle_03_node_013,size_013_cycle_03_node_001,size_013_cycle_03,13,cycle
size_013_binary_tree_04_node_001,size_013_binary_tree_04_node_002,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_001,size_013_binary_tree_04_node_003,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_002,size_013_binary_tree_04_node_004,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_002,size_013_binary_tree_04_node_005,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_003,size_013_binary_tree_04_node_006,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_003,size_013_binary_tree_04_node_007,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_004,size_013_binary_tree_04_node_008,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_004,size_013_binary_tree_04_node_009,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_005,size_013_binary_tree_04_node_010,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_005,size_013_binary_tree_04_node_011,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_006,size_013_binary_tree_04_node_012,size_013_binary_tree_04,13,binary_tree
size_013_binary_tree_04_node_006,size_013_binary_tree_04_node_013,size_013_binary_tree_04,13,binary_tree
size_014_chain_01_node_001,size_014_chain_01_node_002,size_014_chain_01,14,chain
